Date,Sentiment_avg,Last_valid_sentiment,Last_valid_date,Days_since_last_valid,Decayed_sentiment
2010-08-14,,1.75,2010-08-13,1,2.24183668
2010-08-15,,1.75,2010-08-13,2,2.5401507
2010-08-16,,1.75,2010-08-13,3,2.7210873
2010-08-17,1.75,1.75,2010-08-17,0,1.75
2010-08-18,3.0,3.0,2010-08-18,0,3.0
2010-08-19,,3.0,2010-08-18,1,3.0
2010-08-20,2.5,2.5,2010-08-20,0,2.5
2010-08-21,,2.5,2010-08-20,1,2.69673467
2010-08-22,,2.5,2010-08-20,2,2.81606028
2010-08-23,,2.5,2010-08-20,3,2.88843492
2010-08-24,,2.5,2010-08-20,4,2.93233236
2010-08-25,,2.5,2010-08-20,5,2.9589575
2010-08-26,2.5,2.5,2010-08-26,0,2.5
2010-08-27,,2.5,2010-08-26,1,2.69673467
2010-08-28,,2.5,2010-08-26,2,2.81606028
2010-08-29,,2.5,2010-08-26,3,2.88843492
2010-08-30,3.25,3.25,2010-08-30,0,3.25
2010-08-31,,3.25,2010-08-30,1,3.15163266
2010-09-01,2.5,2.5,2010-09-01,0,2.5
2010-09-02,,2.5,2010-09-01,1,2.69673467
2010-09-03,3.0,3.0,2010-09-03,0,3.0
2010-09-04,,3.0,2010-09-03,1,3.0
2010-09-05,,3.0,2010-09-03,2,3.0
2010-09-06,,3.0,2010-09-03,3,3.0
2010-09-07,,3.0,2010-09-03,4,3.0
2010-09-08,,3.0,2010-09-03,5,3.0
2010-09-09,,3.0,2010-09-03,6,3.0
2010-09-10,2.0,2.0,2010-09-10,0,2.0
2010-09-11,,2.0,2010-09-10,1,2.39346934
2010-09-12,,2.0,2010-09-10,2,2.63212056
2010-09-13,,2.0,2010-09-10,3,2.77686984
2010-09-14,,2.0,2010-09-10,4,2.86466472
2010-09-15,4.25,4.25,2010-09-15,0,4.25
2010-09-16,,4.25,2010-09-15,1,3.75816332
2010-09-17,4.0,4.0,2010-09-17,0,4.0
2010-09-18,,4.0,2010-09-17,1,3.60653066
2010-09-19,,4.0,2010-09-17,2,3.36787944
2010-09-20,1.0,1.0,2010-09-20,0,1.0
2010-09-21,2.0,2.0,2010-09-21,0,2.0
2010-09-22,3.5,3.5,2010-09-22,0,3.5
2010-09-23,3.0,3.0,2010-09-23,0,3.0
2010-09-24,,3.0,2010-09-23,1,3.0
2010-09-25,,3.0,2010-09-23,2,3.0
2010-09-26,,3.0,2010-09-23,3,3.0
2010-09-27,,3.0,2010-09-23,4,3.0
2010-09-28,2.0,2.0,2010-09-28,0,2.0
2010-09-29,4.5,4.5,2010-09-29,0,4.5
2010-09-30,3.0,3.0,2010-09-30,0,3.0
2010-10-01,,3.0,2010-09-30,1,3.0
2010-10-02,,3.0,2010-09-30,2,3.0
2010-10-03,,3.0,2010-09-30,3,3.0
2010-10-04,2.5,2.5,2010-10-04,0,2.5
2010-10-05,,2.5,2010-10-04,1,2.69673467
2010-10-06,3.5,3.5,2010-10-06,0,3.5
2010-10-07,2.5,2.5,2010-10-07,0,2.5
2010-10-08,,2.5,2010-10-07,1,2.69673467
2010-10-09,,2.5,2010-10-07,2,2.81606028
2010-10-10,,2.5,2010-10-07,3,2.88843492
2010-10-11,1.0,1.0,2010-10-11,0,1.0
2010-10-12,2.75,2.75,2010-10-12,0,2.75
2010-10-13,,2.75,2010-10-12,1,2.84836734
2010-10-14,,2.75,2010-10-12,2,2.90803014
2010-10-15,,2.75,2010-10-12,3,2.94421746
2010-10-16,,2.75,2010-10-12,4,2.96616618
2010-10-17,,2.75,2010-10-12,5,2.97947875
2010-10-18,3.0,3.0,2010-10-18,0,3.0
2010-10-19,3.0,3.0,2010-10-19,0,3.0
2010-10-20,2.7,2.7,2010-10-20,0,2.7
2010-10-21,2.66666667,2.66666667,2010-10-21,0,2.66666667
2010-10-22,,2.66666667,2010-10-21,1,2.79782311
2010-10-23,,2.66666667,2010-10-21,2,2.87737352
2010-10-24,,2.66666667,2010-10-21,3,2.92562328
2010-10-25,,2.66666667,2010-10-21,4,2.95488824
2010-10-26,,2.66666667,2010-10-21,5,2.97263833
2010-10-27,,2.66666667,2010-10-21,6,2.98340431
2010-10-28,,2.66666667,2010-10-21,7,2.98993421
2010-10-29,,2.66666667,2010-10-21,8,2.99389479
2010-10-30,,2.66666667,2010-10-21,9,2.996297
2010-10-31,,2.66666667,2010-10-21,10,2.99775402
2010-11-01,,2.66666667,2010-10-21,11,2.99863774
2010-11-02,,2.66666667,2010-10-21,12,2.99917375
2010-11-03,,2.66666667,2010-10-21,13,2.99949885
2010-11-04,,2.66666667,2010-10-21,14,2.99969604
2010-11-05,,2.66666667,2010-10-21,15,2.99981564
2010-11-06,,2.66666667,2010-10-21,16,2.99988818
2010-11-07,,2.66666667,2010-10-21,17,2.99993218
2010-11-08,3.75,3.75,2010-11-08,0,3.75
2010-11-09,3.375,3.375,2010-11-09,0,3.375
2010-11-10,,3.375,2010-11-09,1,3.227449
2010-11-11,2.0,2.0,2010-11-11,0,2.0
2010-11-12,2.5,2.5,2010-11-12,0,2.5
2010-11-13,,2.5,2010-11-12,1,2.69673467
2010-11-14,,2.5,2010-11-12,2,2.81606028
2010-11-15,3.0,3.0,2010-11-15,0,3.0
2010-11-16,2.0,2.0,2010-11-16,0,2.0
2010-11-17,,2.0,2010-11-16,1,2.39346934
2010-11-18,,2.0,2010-11-16,2,2.63212056
2010-11-19,4.0,4.0,2010-11-19,0,4.0
2010-11-20,,4.0,2010-11-19,1,3.60653066
2010-11-21,,4.0,2010-11-19,2,3.36787944
2010-11-22,3.0,3.0,2010-11-22,0,3.0
2010-11-23,,3.0,2010-11-22,1,3.0
2010-11-24,2.91666667,2.91666667,2010-11-24,0,2.91666667
2010-11-25,,2.91666667,2010-11-24,1,2.94945578
2010-11-26,,2.91666667,2010-11-24,2,2.96934338
2010-11-27,,2.91666667,2010-11-24,3,2.98140582
2010-11-28,,2.91666667,2010-11-24,4,2.98872206
2010-11-29,5.0,5.0,2010-11-29,0,5.0
2010-11-30,,5.0,2010-11-29,1,4.21306132
2010-12-01,,5.0,2010-11-29,2,3.73575888
2010-12-02,,5.0,2010-11-29,3,3.44626032
2010-12-03,2.66666667,2.66666667,2010-12-03,0,2.66666667
2010-12-04,,2.66666667,2010-12-03,1,2.79782311
2010-12-05,,2.66666667,2010-12-03,2,2.87737352
2010-12-06,,2.66666667,2010-12-03,3,2.92562328
2010-12-07,,2.66666667,2010-12-03,4,2.95488824
2010-12-08,,2.66666667,2010-12-03,5,2.97263833
2010-12-09,4.75,4.75,2010-12-09,0,4.75
2010-12-10,5.0,5.0,2010-12-10,0,5.0
2010-12-11,,5.0,2010-12-10,1,4.21306132
2010-12-12,,5.0,2010-12-10,2,3.73575888
2010-12-13,2.5,2.5,2010-12-13,0,2.5
2010-12-14,3.5,3.5,2010-12-14,0,3.5
2010-12-15,,3.5,2010-12-14,1,3.30326533
2010-12-16,,3.5,2010-12-14,2,3.18393972
2010-12-17,1.0,1.0,2010-12-17,0,1.0
2010-12-18,,1.0,2010-12-17,1,1.78693868
2010-12-19,,1.0,2010-12-17,2,2.26424112
2010-12-20,3.5,3.5,2010-12-20,0,3.5
2010-12-21,2.75,2.75,2010-12-21,0,2.75
2010-12-22,3.25,3.25,2010-12-22,0,3.25
2010-12-23,2.75,2.75,2010-12-23,0,2.75
2010-12-24,,2.75,2010-12-23,1,2.84836734
2010-12-25,,2.75,2010-12-23,2,2.90803014
2010-12-26,,2.75,2010-12-23,3,2.94421746
2010-12-27,,2.75,2010-12-23,4,2.96616618
2010-12-28,,2.75,2010-12-23,5,2.97947875
2010-12-29,,2.75,2010-12-23,6,2.98755323
2010-12-30,,2.75,2010-12-23,7,2.99245065
2010-12-31,,2.75,2010-12-23,8,2.99542109
2011-01-01,,2.75,2010-12-23,9,2.99722275
2011-01-02,,2.75,2010-12-23,10,2.99831551
2011-01-03,2.25,2.25,2011-01-03,0,2.25
2011-01-04,2.75,2.75,2011-01-04,0,2.75
2011-01-05,,2.75,2011-01-04,1,2.84836734
2011-01-06,3.5,3.5,2011-01-06,0,3.5
2011-01-07,3.5,3.5,2011-01-07,0,3.5
2011-01-08,,3.5,2011-01-07,1,3.30326533
2011-01-09,,3.5,2011-01-07,2,3.18393972
2011-01-10,,3.5,2011-01-07,3,3.11156508
2011-01-11,,3.5,2011-01-07,4,3.06766764
2011-01-12,3.16666667,3.16666667,2011-01-12,0,3.16666667
